²title²category²cluster_pred,,,
0²How to improve your company's customer focus²Opinion²Company oriented Strategy,,,
1²FutuStories - Six reasons Pasi left – and came back – to Futurice²Culture²Futustories,,,
2²Foresight methods and strategic planning in business²Strategy²Company oriented Strategy,,,
3²Uncertainty in business and how to deal with it²Opinion²Company oriented Strategy,,,
4²FutuStories – Emma-Leena Heikkinen’s story²Culture²Futustories,,,
5²The Safe Route project and how it relates to digital innovation²Opinion²Data,,,
6²Sustainability data - what is it and why does it matter?²Strategy²Mobility,,,
7²Mob Programming – key issues it can solve, benefits, and learnings²Technology²Strategy,
8²FutuStories - Meet Luisa, Senior Software Engineer & Tech Advisor²Culture²Futustories,,
9²FutuStories: A day at Futurice with Seth Peters²Culture²Futustories,,,
10²Azure Immersion Workshops in AI and Analytics | Microsoft and Futurice²Events²AI,,,
11²Futurice presents Operation Sunray: A Finnish midsummer crash course²Culture²Futurice,,,
12²How Corporate Foresight fosters innovation²Projects²Company oriented Strategy,,,
13²5 things to support mental health in the workplace at Futurice²Culture²Futurice,,,
14²Experiences of Futurice Academy from our alumni and employees²Learning²Futustories,,,
15²Why accessible digital services are so important²Innovation & Design²Design,,,
16²Future of mobility - how to stay in the driver’s seat?²Emerging Tech²Mobility,,,
17²What is MLOps and what can you do with it?²Technology²AI,,,
18²FutuStories - Meet Dariia, UX/UI Designer²Culture²Futustories,,
19²What is SRE and how does it relate to DevOps?²Learning²Strategy,,,
20²What is a connected company and how to become one?²Strategy²Company oriented Strategy,,,
21²Learnings from Design System Workshop²Ways of Working²Design,,,
22²FutuStories - Meet Maiju, Culture Consultant and Service Designer²Culture²Futustories,,
"23²""Why the """"next big thing"""" might have to be quite small""²Opinion²Futurice",,,
24²What can SRE (site reliability engineering) do for dev and ops?²Opinion²Strategy,,,
25²Differences between DevOps and SRE - what are they?²Opinion²Strategy,,,
26²FutuStories - Meet Elizabeth, Software Developer²Culture²Futustories,,
27²Three tips to a great application in the tech industry²Opinion²Futustories,,,
28²Agile tips and tricks²Ways of Working²Strategy,,,
29²How do agile and devops interrelate?²Learning²Strategy,,,
30²Azure Immersion Workshops in AI and Analytics | Microsoft and Futurice²Events²AI,,,
31²FutuStories - Meet Marc, Senior Digital Product Designer²Culture²Futustories,,
32²DevOps - what is it and why is it so important?²Learning²Strategy,,,
33²Breaking the language barrier in the workplace²Culture²Futustories,,,
34²A Short Introduction to NFTs²Emerging Tech²Futurice,,,
35²The Safe Route – improving the safety of cyclists in Sweden²Opinion²Futurice,,,
36²Future thinking and strategic foresight²Strategy²Company oriented Strategy,,,
37²DevOps engineer - what is it and what do they do?²Ways of Working²Strategy,,,
38²FutuStories - Meet Lisha, Senior Designer²Culture²Futustories,,
39²FutuStories - Six things Caique learned from living and working in different countries²Culture²Futustories,,,
40²New energy companies vs. established companies²Technology²Energy,,,
41²Experiences of digitizing the health sector²Technology²Futustories,,,
42²Guide to partner APIs and personal access tokens (PATs)²Technology²Cloud,,,
43²FutuStories - Five things that have inspired Suvi as a designer²Culture²Futustories,,,
44²Healthcare ecosystem assessment²Innovation & Design²Company oriented Strategy,,,
45²5 key aspects of zero emission mobility²Technology²Mobility,,,
46²Better patient journeys with the Connected Health Kit²Innovation & Design²Company oriented Strategy,,,
47²FutuStories – Meet Kajsa, Software Developer & Designer²Culture²Futustories,,
48²10 signs to indicate you are a senior designer²Innovation & Design²Design,,,
49²Safe cycling routes—quest for data²Opinion²Data,,,
50²FutuStories - Meet Gian, Managing Director Berlin²Culture²Futustories,,
51²FutuStories - Five things Juhis has learned about tech communities²Culture²Futustories,,,
52²What is AutoML and how can it be applied to practice?²Technology²AI,,,
53²FutuStories - Meet Tech Lead Johan²Culture²Futustories,,,
54²Patent analysis and strategies of large energy companies²Technology²Energy,,,
55²Better mobility experiences with accessible design²Innovation & Design²Mobility,,,
56²Product vs project – similar words but very different approaches²Technology²Strategy,,,
57²FutuStories - Meet Tuomas, Senior Business Designer²Culture²Futustories,,
58²Futurice invests in Vuono Group²News²Futurice,,,
59²FutuStories - Meet Teemu, Lead Data Scientist²Culture²Futustories,,
60²Micromobility and its role in mobility ecosystems²Innovation & Design²Mobility,,,
61²How to make remote work actually work²Ways of Working²Futustories,,,
62²Sustainability at Europe’s top energy companies – do talk and action correlate?²Technology²Energy,,,
63²On the Future of Retail 2030: Explore Your Data Driven Growth Opportunities²Innovation & Design²Company oriented Strategy,,,
64²FutuStories - Meet Theresa, Office & Feel Good Manager²Culture²Futustories,,
65²Six inspirational ways to make money with data²Strategy²Data,,,
66²Chasing a vision²Technology²Strategy,,,
67²How to optimize the vehicle aftersales process?²Innovation & Design²Mobility,,,
68²FutuStories - Meet Eeva, Head of Strategy & Culture²Culture²Futustories,,
69²How do companies really talk about sustainability – a data- and AI-driven experiment²Technology²Company oriented Strategy,,,
70²For bicyclists, democratizing data is a matter of life and death²Opinion²Data,,
71²Why do software transitions often fail?²Ways of Working²Strategy,,,
72²An organizational guide to machine learning business cases: Sanoma²Strategy²Data,,,
73²FutuStories - Meet Joel, Senior Software Developer²Culture²Futustories,,
74²E-mobility challenges and steps forward²Innovation & Design²Mobility,,,
75²The Time to Rebuild the Travel Industry Is Now: Start a Journey With Digitalization²Strategy²Mobility,,,
76²FutuStories - Five things I've learned from my time at Futurice with Carita²Culture²Futustories,,,
77²Sustainable mobility – think big²Innovation & Design²Mobility,,,
78²Futucare - smooth and modern software maintenance²Product²Design,,,
79²FutuStories - Meet Sonja, Managing Director Sweden²Culture²Futustories,,
80²Cabin in the (low-code) woods²Technology²Cloud,,,
81²FutuStories - One day with Kilian, Senior Designer²Culture²Futustories,,
82²How to achieve Data Mesh teams and culture?²Technology²Data,,,
83²Phil and what they love about their job as Senior Tech Consultant - FutuStories²Culture²Futustories,,,
84²Mika Harjuaho is the new CFO of Futurice²News²Futustories,,,
